ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
421359,1989,0,0,0,0,0,0,0,0,0,0
421360,1989,15,18,15,15,15,15,21,15,15,15
421361,1989,0,19,0,0,0,0,0,0,0,19
421362,1989,18,18,18,18,18,18,18,18,18,18
421363,1989,0,0,0,0,0,0,0,0,0,0
421364,1989,12,12,12,12,12,12,12,12,12,12
421365,1989,0,0,0,0,0,0,0,0,0,0
421366,1989,21,21,21,21,21,21,21,21,21,21
421367,1989,0,0,19,25,0,0,15,0,0,0
421368,1989,0,0,0,0,0,0,16,0,0,0
421369,1989,20,20,20,20,20,20,20,20,20,20
421370,1989,0,0,0,0,0,0,0,0,0,0
421371,1989,27,15,23,21,17,0,25,37,33,16
421372,1989,15,15,15,15,15,15,15,15,15,15
421373,1989,0,0,0,0,0,0,0,0,0,0
421374,1989,0,0,0,0,0,0,0,0,0,0
421375,1989,0,0,0,0,0,0,0,0,0,0
421376,1989,5,6,0,10,14,16,15,16,2,8
421377,1989,0,0,0,0,0,0,0,0,0,0
421378,1989,0,31,6,0,0,0,0,0,0,9
421379,1989,26,26,26,26,26,26,26,26,26,26
421380,1989,9,9,9,9,9,9,9,9,9,9
421381,1989,0,0,0,0,0,0,0,0,0,0
421382,1989,5,5,5,5,5,5,5,5,5,5
421383,1989,0,0,0,0,0,0,0,0,0,0
421384,1989,27,27,27,27,27,27,27,27,27,27
421385,1989,7,7,7,7,7,7,7,7,7,7
421386,1989,0,0,0,0,0,0,0,11,0,0
421387,1989,7,7,7,7,7,7,7,7,7,7
421388,1989,15,15,15,15,15,15,15,15,15,15
421389,1989,19,19,19,19,19,19,19,19,19,19
421390,1989,0,0,0,0,0,0,0,0,0,0
421391,1989,0,26,11,0,0,13,22,17,40,0
421392,1989,0,0,0,0,0,0,0,0,0,0
421393,1989,23,15,33,3,0,25,18,13,18,18
421394,1989,8,8,8,8,8,8,8,8,8,8
421395,1989,0,0,0,0,0,0,0,0,0,0
421396,1989,10,10,10,10,10,10,10,10,10,10
421397,1989,17,17,17,17,17,17,17,17,17,17
