ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
40745,1987,16,16,16,16,16,16,16,16,16,16
40746,1987,0,0,0,0,0,0,0,0,0,0
40747,1987,0,0,0,0,0,0,0,0,0,0
40748,1987,0,0,0,0,0,0,0,0,0,0
40749,1987,1,1,1,1,1,1,1,1,1,1
40750,1987,0,0,0,0,0,0,0,0,0,0
40751,1987,19,20,18,18,23,28,27,25,25,19
40752,1987,39,39,39,39,39,39,39,39,39,39
40753,1987,47,47,47,47,47,47,47,47,47,47
40754,1987,19,28,13,15,19,31,36,30,19,29
40755,1987,17,29,26,0,37,33,18,29,8,33
40756,1987,11,0,12,12,10,19,14,7,13,20
40757,1987,31,31,31,31,31,31,31,31,31,31
40758,1987,19,19,19,19,19,19,19,19,20,19
40759,1987,20,26,0,28,20,10,28,19,26,33
40760,1987,27,27,27,27,27,27,27,27,27,27
40761,1987,20,20,20,20,20,20,20,20,20,20
40762,1987,0,0,0,0,0,16,0,0,0,2
40763,1987,13,13,13,13,13,13,13,13,13,13
40764,1987,0,0,0,0,0,0,0,0,21,0
40765,1987,0,0,0,0,0,0,0,0,0,0
40766,1987,0,0,0,0,0,0,0,15,0,0
40767,1987,23,0,0,17,0,0,0,0,0,0
40768,1987,25,25,25,25,25,25,25,25,25,25
40769,1987,19,3,18,11,0,2,20,8,9,14
40770,1987,0,0,9,0,0,0,0,0,0,0
40771,1987,0,0,0,0,0,0,0,0,0,0
40772,1987,0,0,0,0,0,0,0,0,0,0
40773,1987,50,12,0,0,13,17,0,12,15,32
40774,1987,0,0,0,0,0,0,0,0,12,0
40775,1987,0,7,17,18,3,0,10,0,0,6
40776,1987,20,20,20,20,20,20,20,20,20,20
40777,1987,24,7,19,13,17,24,7,8,22,29
40778,1987,0,14,0,26,0,0,0,9,0,0
40779,1987,0,0,0,0,0,0,0,0,0,0
40780,1987,0,0,0,0,0,0,0,0,0,0
40781,1987,9,0,6,12,0,0,0,0,0,0
40782,1987,26,0,0,0,26,0,13,9,0,0
40783,1987,34,34,34,34,34,34,34,34,34,34
40784,1987,29,29,25,29,10,22,15,15,18,22
40785,1987,16,16,16,16,16,16,16,16,16,16
40786,1987,0,0,0,0,0,0,0,0,0,0
40787,1987,19,19,19,19,19,19,19,19,19,19
40788,1987,0,0,0,0,0,0,0,0,0,0
40789,1987,0,5,7,8,19,4,0,0,0,11
40790,1987,10,10,28,13,10,22,10,10,10,10
40791,1987,25,25,25,25,25,25,25,25,25,25
40792,1987,22,0,31,10,14,26,15,22,17,6
40793,1987,8,16,15,10,16,11,8,2,14,18
40794,1987,5,14,10,12,24,11,22,21,11,21
40795,1987,33,33,33,33,33,33,33,33,33,33
40796,1987,0,0,8,0,13,0,0,0,0,0
40797,1987,16,21,43,5,17,0,16,25,29,14
40798,1987,30,30,30,30,30,30,30,30,30,30
40799,1987,12,12,28,26,17,0,12,23,18,15
40800,1987,7,14,20,2,22,7,16,7,28,8
40801,1987,0,0,0,0,0,0,0,0,0,0
40802,1987,25,16,20,16,16,16,16,16,16,16
40803,1987,11,24,20,7,13,15,0,0,5,6
40804,1987,30,30,30,30,30,30,30,30,30,30
40805,1987,5,5,5,5,5,5,5,5,5,5
40806,1987,0,0,22,0,19,0,0,0,0,0
40807,1987,9,9,9,9,9,9,9,9,9,9
40808,1987,0,0,0,0,0,0,0,0,0,0
40809,1987,0,0,0,0,0,0,0,0,0,0
40810,1987,0,0,0,0,0,0,0,0,0,0
40811,1987,10,17,24,27,22,28,9,0,16,10
40812,1987,30,0,0,15,0,0,18,0,9,17
40813,1987,21,25,39,4,22,21,0,26,33,30
40814,1987,7,0,18,17,11,12,24,33,28,35
40815,1987,23,23,23,23,23,23,23,23,23,23
40816,1987,0,0,0,0,0,0,0,0,0,0
40817,1987,0,0,0,8,0,41,0,0,0,0
40818,1987,17,22,0,13,0,16,7,0,10,23
40819,1987,0,0,0,0,0,0,5,0,0,0
40821,1987,27,0,0,25,31,10,0,20,0,14
40822,1987,16,26,13,9,25,0,10,13,14,24
40823,1987,0,26,0,0,0,0,0,0,0,0
40824,1987,22,21,15,18,30,18,18,0,27,13
40825,1987,39,16,12,15,15,18,0,25,16,28
50001,1987,0,0,0,0,18,0,0,0,9,0
50002,1987,15,13,32,8,11,21,14,16,19,30
50003,1987,0,0,14,0,7,0,0,26,19,24
50004,1987,0,0,0,0,0,0,0,0,0,0
50005,1987,17,0,11,0,14,16,0,0,15,23
50007,1987,27,16,0,22,21,17,20,19,23,11
50008,1987,0,0,0,0,0,0,0,0,0,0
50009,1987,32,32,32,32,32,32,32,32,32,32
50010,1987,22,22,22,22,22,22,22,22,22,22
50011,1987,0,0,0,0,0,0,0,0,0,0
50012,1987,0,0,0,0,0,0,0,0,0,0
50013,1987,15,10,0,9,0,18,24,23,7,9
50014,1987,13,27,12,3,16,17,34,17,21,32
50015,1987,0,3,0,0,10,0,0,0,0,0
50016,1987,0,0,0,0,0,0,0,0,0,0
50017,1987,3,3,3,3,3,3,3,3,3,3
50018,1987,0,0,0,0,0,0,0,0,0,0
50019,1987,0,0,0,0,0,0,0,0,0,0
50020,1987,17,17,17,17,17,17,17,17,17,17
50021,1987,4,4,4,4,4,4,4,4,4,4
50022,1987,0,0,0,0,0,0,0,0,0,0
50023,1987,0,0,0,17,19,15,0,0,0,15
50024,1987,0,0,0,0,0,0,0,0,0,0
50025,1987,19,26,25,27,35,22,28,11,8,30
50026,1987,24,12,16,0,26,7,14,13,16,18
50027,1987,0,0,0,0,0,0,0,0,0,0
50028,1987,10,0,6,14,0,6,3,0,9,18
50029,1987,0,0,0,0,0,0,0,0,0,0
50030,1987,20,18,21,24,14,8,16,11,10,14
50031,1987,13,23,16,6,37,20,0,19,30,17
