ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
120923,1984,19,8,11,14,9,0,10,0,3,22
120924,1984,0,0,0,0,0,0,0,0,0,0
120925,1984,27,27,27,27,27,27,27,27,27,27
120926,1984,0,13,0,18,0,0,0,0,0,0
120927,1984,7,7,7,7,7,7,7,7,7,7
120928,1984,9,9,9,9,9,9,9,9,9,9
120929,1984,15,15,15,15,15,15,15,15,15,15
120930,1984,30,15,9,13,20,23,20,5,7,8
120931,1984,0,0,0,20,23,0,0,6,0,0
120932,1984,11,0,0,0,0,0,0,0,0,0
120933,1984,18,18,18,18,18,18,18,18,18,18
120934,1984,18,18,18,18,18,18,18,18,18,18
120935,1984,0,0,0,0,0,22,11,0,0,0
120936,1984,0,0,0,0,0,8,0,0,0,0
120937,1984,1,1,1,1,1,1,1,1,1,1
120938,1984,18,18,18,18,18,18,18,18,18,18
120940,1984,0,0,0,0,0,0,0,0,0,21
120941,1984,0,0,0,24,0,0,6,0,0,0
120942,1984,12,12,12,21,12,14,13,12,12,13
120943,1984,0,0,0,0,0,0,0,0,0,0
120944,1984,0,0,0,0,0,0,0,0,0,0
120945,1984,0,0,0,0,0,0,0,0,0,0
120946,1984,9,17,8,6,9,0,18,17,15,14
120947,1984,12,12,12,12,12,12,12,12,12,12
120948,1984,2,2,2,2,2,2,2,2,2,2
120949,1984,16,16,16,16,16,20,16,16,16,16
120950,1984,0,0,0,0,0,0,0,0,0,0
120951,1984,0,0,0,0,0,0,0,0,0,0
120952,1984,14,14,14,14,14,14,14,14,14,14
120953,1984,18,15,15,9,18,20,18,8,23,15
120954,1984,0,0,0,0,0,0,0,23,0,0
120955,1984,0,0,0,0,0,0,0,0,0,0
120956,1984,9,0,0,0,0,0,0,0,0,0
120957,1984,0,0,25,0,0,0,0,0,0,0
120958,1984,0,0,0,0,18,14,0,0,21,0
120959,1984,0,0,11,0,0,8,0,5,0,0
120960,1984,0,0,0,0,0,0,0,0,9,0
