ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10222,1988,18,18,18,18,18,18,18,18,18,18
10223,1988,24,22,24,22,24,22,22,26,22,22
10224,1988,29,29,29,29,29,29,29,29,29,29
10225,1988,31,31,31,31,31,31,31,31,31,31
10226,1988,18,18,24,18,18,18,18,18,18,18
10227,1988,0,0,10,0,0,0,0,0,0,0
10228,1988,0,0,0,0,0,0,0,0,0,0
10229,1988,0,11,0,15,10,0,20,0,27,14
10230,1988,13,13,13,13,13,13,13,13,13,13
10231,1988,10,10,10,10,10,10,10,10,10,10
10232,1988,0,0,0,0,0,0,0,0,0,0
10233,1988,0,0,0,0,0,0,0,0,0,0
10234,1988,0,0,0,20,0,0,0,0,0,0
10235,1988,38,23,23,23,23,23,23,23,23,23
10236,1988,0,0,22,0,0,0,0,12,0,0
10237,1988,0,0,0,0,0,0,0,0,0,0
10238,1988,0,0,0,0,0,0,0,0,0,0
10239,1988,7,7,7,7,7,7,7,7,7,7
10240,1988,17,17,21,17,19,17,17,17,17,17
10241,1988,15,9,10,12,12,10,32,7,14,22
10242,1988,0,0,0,0,0,0,0,0,0,0
10243,1988,7,7,7,7,7,7,7,7,7,7
10244,1988,8,8,8,8,8,8,8,8,8,8
10245,1988,0,0,0,0,0,0,0,0,0,0
10246,1988,0,0,0,0,0,0,0,0,0,0
10247,1988,9,9,9,9,9,9,9,9,9,9
10248,1988,0,27,25,31,21,0,7,22,22,29
10249,1988,0,0,0,0,0,0,0,0,0,0
10250,1988,0,0,0,0,0,0,0,0,0,0
10251,1988,20,20,20,20,20,20,20,20,20,20
10252,1988,31,31,31,31,31,31,31,31,31,31
10253,1988,0,0,0,0,0,0,0,0,0,0
10254,1988,0,0,0,0,0,0,0,0,0,0
10255,1988,0,17,0,0,0,0,0,23,17,0
10256,1988,0,6,0,0,0,0,0,0,0,0
10257,1988,0,0,0,0,0,0,0,0,0,0
10258,1988,21,21,21,21,21,21,21,21,21,21
10259,1988,0,0,7,0,0,0,0,0,0,0
10260,1988,0,0,0,0,0,0,0,0,0,0
10261,1988,0,0,0,0,0,0,35,0,0,0
10262,1988,26,26,26,26,26,26,26,26,26,26
10263,1988,0,0,0,0,0,0,0,36,0,0
10264,1988,6,7,6,6,6,6,6,6,6,6
10265,1988,25,25,25,25,25,25,25,25,25,25
10266,1988,23,23,23,23,23,23,23,23,23,23
10267,1988,2,0,15,10,26,5,6,10,13,17
10268,1988,17,17,17,17,17,17,17,17,17,17
10269,1988,13,15,6,7,8,17,15,9,0,24
10270,1988,22,16,0,0,13,32,7,19,5,19
10271,1988,14,0,30,0,0,23,0,11,14,0
10272,1988,0,0,0,0,0,0,0,0,0,0
10273,1988,24,24,24,24,24,24,24,24,24,24
10274,1988,0,0,0,0,0,0,0,0,0,0
10275,1988,10,10,10,10,10,10,10,10,10,10
10276,1988,0,0,0,0,0,0,0,0,0,0
10277,1988,28,29,5,25,13,17,11,12,10,12
10278,1988,19,19,19,19,19,19,19,19,19,19
10279,1988,0,0,0,0,0,0,0,0,0,0
10280,1988,0,10,4,4,9,0,25,20,2,7
10281,1988,2,2,2,2,2,2,2,2,2,2
10282,1988,0,0,0,0,0,0,0,0,0,0
10283,1988,0,0,0,0,0,0,0,0,0,0
10284,1988,0,0,0,0,0,0,0,0,0,0
10285,1988,5,15,13,10,16,15,9,0,3,4
10286,1988,15,15,15,15,15,15,15,15,15,15
10287,1988,0,0,0,0,3,0,0,0,0,0
10288,1988,15,15,15,15,15,15,15,15,15,15
10289,1988,16,16,16,16,16,16,16,16,16,16
10290,1988,3,3,3,3,3,3,3,3,3,3
10291,1988,0,0,0,0,14,0,0,0,0,0
10292,1988,22,22,22,22,22,22,22,22,22,22
10293,1988,0,0,19,0,0,0,0,0,0,0
10294,1988,22,22,22,22,22,22,22,22,22,22
10295,1988,0,0,0,0,0,0,0,0,0,0
10296,1988,19,19,19,19,19,19,19,19,19,19
10298,1988,0,0,0,0,0,0,0,0,0,0
10299,1988,12,12,12,12,12,12,12,12,12,12
10300,1988,0,0,0,0,0,0,0,0,0,0
10301,1988,2,2,2,2,2,2,2,2,2,2
10302,1988,0,0,0,0,0,0,0,0,0,0
10303,1988,21,21,21,21,21,21,21,21,21,21
10304,1988,0,0,0,0,0,0,0,0,0,0
10305,1988,0,0,0,0,0,0,0,0,0,0
10306,1988,0,0,0,5,0,0,0,0,0,0
10307,1988,0,0,0,15,0,0,0,0,0,0
10308,1988,0,0,0,0,0,0,35,0,0,0
10309,1988,0,0,0,0,0,0,0,0,0,0
10310,1988,16,14,0,0,0,0,0,0,0,0
10311,1988,18,18,18,18,18,18,18,18,18,18
10312,1988,0,0,0,0,0,0,0,0,0,0
10313,1988,0,0,0,0,0,9,0,0,0,0
10314,1988,0,0,0,15,0,0,0,0,0,0
10315,1988,21,21,21,21,21,21,21,21,21,21
10316,1988,0,0,0,0,0,0,0,0,0,0
10317,1988,12,12,12,12,12,12,12,12,12,12
10318,1988,0,0,0,0,0,0,0,0,0,0
10319,1988,27,16,20,25,19,15,25,16,0,18
10320,1988,20,20,20,20,20,20,20,20,20,20
10321,1988,0,0,0,0,0,0,0,0,0,0
10322,1988,8,8,17,15,19,21,18,20,13,17
10323,1988,11,11,11,11,11,11,11,11,11,11
10324,1988,0,0,0,0,0,0,0,15,0,0
10325,1988,14,14,14,14,14,14,14,14,14,14
10326,1988,27,27,27,27,27,27,27,27,27,27
10327,1988,21,21,21,21,21,21,21,21,21,21
10328,1988,18,18,18,18,18,18,18,18,18,18
10329,1988,0,0,0,0,0,0,0,0,0,0
10330,1988,30,30,30,30,30,30,30,30,30,30
10331,1988,33,33,33,33,33,33,33,33,33,33
10332,1988,0,0,0,0,0,0,0,0,0,0
10333,1988,12,4,0,13,7,18,34,18,17,20
10334,1988,21,21,21,21,21,21,21,21,21,21
10335,1988,11,11,11,11,11,11,11,11,11,11
10336,1988,20,20,20,20,20,20,20,20,20,20
10337,1988,0,0,0,0,0,0,0,0,0,0
10338,1988,24,24,24,24,24,24,24,24,24,24
10339,1988,0,0,0,0,0,0,0,0,5,0
10340,1988,11,11,11,11,11,11,11,11,11,11
10341,1988,0,0,0,0,13,7,0,0,20,5
10342,1988,27,27,27,27,27,27,27,27,27,27
10343,1988,14,14,20,14,16,14,14,14,14,14
10344,1988,0,0,0,0,0,0,0,0,0,0
10345,1988,1,1,1,1,1,1,1,1,1,1
10346,1988,0,11,20,10,18,7,17,17,14,29
10347,1988,12,12,12,12,12,12,12,12,12,12
10348,1988,0,0,0,0,0,0,0,0,0,0
10349,1988,29,29,29,29,29,29,29,29,29,29
10350,1988,23,23,23,23,23,23,23,23,23,23
10351,1988,25,25,25,25,25,25,25,25,25,25
10352,1988,0,0,0,0,0,0,0,0,0,0
10353,1988,3,10,14,7,19,20,12,5,7,15
10354,1988,0,0,20,0,0,0,0,0,0,0
10355,1988,23,13,2,13,9,22,11,14,3,9
10356,1988,10,10,10,10,10,10,10,10,10,10
10357,1988,10,29,16,26,18,20,15,3,9,10
10358,1988,15,15,15,15,15,15,15,15,15,15
10359,1988,18,0,0,27,0,29,0,0,0,0
10360,1988,0,0,0,0,0,0,6,0,0,0
10361,1988,19,19,19,19,19,19,19,19,19,19
10362,1988,7,7,7,7,7,7,7,7,7,7
10363,1988,29,29,29,29,29,29,29,29,29,29
10364,1988,7,0,0,0,0,0,0,0,0,0
10365,1988,0,0,0,0,0,0,0,0,0,0
10366,1988,4,4,4,4,4,4,4,4,4,4
10367,1988,22,15,10,16,4,27,16,21,29,0
10368,1988,0,0,0,0,37,0,0,0,0,6
10369,1988,0,0,0,0,0,3,0,0,0,12
10370,1988,17,17,17,17,17,17,17,17,17,17
10371,1988,10,8,0,0,5,10,31,36,19,0
10372,1988,0,0,0,16,0,0,0,0,0,0
10373,1988,0,0,0,0,0,0,0,0,0,0
10374,1988,22,0,0,0,0,0,10,0,0,16
10375,1988,18,18,18,18,18,18,18,18,18,18
10376,1988,12,12,12,12,12,12,12,12,12,12
10377,1988,0,0,0,0,0,0,0,0,0,0
10378,1988,0,0,0,0,0,0,0,0,0,0
10379,1988,0,12,13,9,13,0,20,16,17,17
10380,1988,0,0,0,0,0,0,0,0,0,0
10381,1988,0,0,0,0,0,0,0,0,0,0
10382,1988,0,0,0,0,0,0,0,0,0,0
10383,1988,0,0,0,0,0,0,8,0,0,0
10384,1988,16,16,16,16,16,16,16,16,16,16
10385,1988,0,0,0,0,0,0,0,0,0,0
10386,1988,23,23,23,23,23,23,23,23,23,23
10387,1988,0,0,0,0,0,0,0,0,0,0
10388,1988,17,17,25,17,17,17,17,17,17,17
10389,1988,14,14,14,14,14,14,14,14,14,14
10390,1988,24,24,24,24,24,24,24,24,24,24
10391,1988,11,11,11,11,11,11,11,11,11,11
10392,1988,18,0,14,0,10,18,18,31,5,0
10393,1988,31,31,31,31,31,31,31,31,31,31
10394,1988,0,0,0,0,0,0,0,0,0,0
10395,1988,22,14,21,31,5,11,11,35,7,21
10396,1988,0,27,0,0,0,0,0,0,0,0
10397,1988,0,0,0,0,0,0,0,0,0,0
10398,1988,0,0,0,0,0,0,0,0,0,0
10399,1988,0,0,0,0,0,0,0,0,0,0
10400,1988,0,0,0,0,0,0,0,0,16,0
10401,1988,14,14,14,14,14,14,14,14,14,14
10402,1988,0,9,0,9,0,0,0,0,0,0
10403,1988,19,0,0,0,24,23,0,0,17,0
10404,1988,0,0,0,0,0,0,0,10,0,0
10405,1988,0,0,0,0,0,0,0,0,0,0
10406,1988,0,0,0,0,0,0,0,0,0,0
10407,1988,0,0,0,0,0,0,0,0,0,0
10408,1988,0,0,0,15,0,0,0,0,18,0
10409,1988,3,3,3,3,3,3,3,3,3,3
10410,1988,22,17,15,10,20,29,12,18,13,7
10411,1988,0,0,0,0,0,0,0,0,0,0
10412,1988,0,0,0,0,0,0,0,0,0,0
10413,1988,17,17,17,17,17,17,17,17,17,17
10414,1988,0,0,0,0,0,0,0,0,0,0
10415,1988,0,0,0,0,0,0,0,0,0,0
10416,1988,0,0,0,0,0,0,0,0,0,0
10417,1988,28,28,28,28,28,28,28,28,28,28
10418,1988,20,20,20,20,20,20,20,20,20,20
10419,1988,0,0,0,0,0,0,0,0,0,0
10420,1988,11,20,18,0,0,16,0,0,5,0
10421,1988,15,22,10,13,36,15,17,28,19,7
10422,1988,12,12,12,12,12,12,12,12,12,12
10423,1988,0,0,0,0,0,0,0,20,0,0
10424,1988,31,31,31,31,31,31,31,31,31,31
10425,1988,8,8,8,8,8,8,8,8,8,8
10426,1988,0,0,0,0,0,0,0,0,0,0
10427,1988,0,0,0,0,0,0,0,0,0,0
10428,1988,0,0,0,17,0,0,0,0,0,0
10429,1988,0,0,0,0,0,0,0,0,0,0
10430,1988,25,25,25,25,25,25,25,25,25,25
10431,1988,0,0,0,0,0,0,0,0,0,0
10432,1988,0,2,0,0,0,0,22,0,0,0
10433,1988,6,6,6,6,6,6,6,6,6,6
10434,1988,0,0,18,0,0,0,16,3,0,0
10435,1988,9,9,9,9,9,9,9,9,9,9
10436,1988,7,7,7,7,7,7,7,7,7,7
10437,1988,0,0,0,0,0,0,0,0,0,0
10438,1988,0,0,0,0,0,0,0,0,0,0
10439,1988,0,0,0,0,0,0,0,0,0,7
10440,1988,0,0,0,0,0,0,0,0,0,0
10441,1988,21,21,21,21,21,21,21,21,21,21
10442,1988,0,0,0,0,0,0,0,0,0,0
10443,1988,0,0,0,0,0,0,0,0,0,0
10444,1988,11,11,11,11,11,11,11,11,11,11
10445,1988,0,0,0,14,0,0,0,23,0,0
10446,1988,20,20,20,20,20,20,20,20,20,20
10447,1988,23,23,23,23,23,23,23,23,23,23
10448,1988,11,11,11,11,11,11,11,11,11,11
10449,1988,12,19,18,21,22,41,13,14,29,0
10450,1988,0,0,0,0,0,0,0,0,0,0
10451,1988,0,0,0,0,0,0,0,0,0,0
10452,1988,6,10,22,11,20,22,14,8,8,11
10453,1988,0,20,0,31,0,0,24,0,0,0
10454,1988,0,0,0,0,0,0,0,0,0,0
10456,1988,28,28,28,28,28,28,28,28,28,28
10457,1988,10,10,10,10,10,10,10,10,10,10
