ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10100,2,1,1988,14,17,0,8,0,0,15,0,25,11
10101,1,1,1988,0,25,0,12,0,0,0,0,0,0
10102,1,1,1988,6,6,6,6,6,6,6,6,6,6
10103,1,1,1988,0,0,0,0,0,0,0,0,0,0
10103,2,1,1988,18,18,18,18,18,18,18,18,18,18
10103,3,1,1988,0,0,0,0,0,0,0,0,0,0
10104,1,1,1988,18,18,18,18,18,18,18,18,18,18
10104,2,1,1988,0,0,0,0,0,0,0,0,0,0
10105,1,1,1988,0,0,10,0,17,9,0,0,0,0
10105,2,1,1988,0,0,0,0,0,0,0,0,0,0
10106,1,1,1988,11,11,11,11,11,11,11,11,11,11
10106,2,1,1988,0,0,0,0,0,0,0,0,0,0
10107,1,1,1988,17,17,17,17,17,17,17,17,17,17
10107,2,1,1988,0,0,0,0,0,0,0,0,0,0
10108,1,1,1988,0,0,0,0,0,0,0,0,0,0
10108,2,1,1988,0,0,0,0,21,0,0,0,0,0
10109,0,1,1988,14,14,14,14,14,14,14,14,14,14
10109,1,1,1988,0,0,0,0,0,0,0,0,0,0
10110,0,1,1988,0,0,0,0,0,0,0,0,0,0
10111,1,1,1988,0,0,0,0,0,0,0,0,0,0
10111,2,1,1988,0,0,0,0,0,0,0,0,0,0
10112,1,1,1988,21,21,21,21,21,21,21,21,21,21
10112,2,1,1988,0,0,0,0,0,0,0,0,0,0
10112,3,1,1988,0,0,0,0,0,0,0,0,0,0
10113,1,1,1988,0,0,0,0,0,0,0,0,0,0
10113,2,1,1988,0,0,0,0,0,0,0,0,0,0
10114,1,1,1988,3,3,3,3,3,3,3,3,3,3
10115,0,1,1988,0,0,0,0,0,0,0,0,0,0
10115,1,1,1988,0,0,0,0,22,0,0,0,0,0
10116,1,1,1988,0,0,0,0,0,0,0,0,0,0
10116,2,1,1988,0,0,0,0,0,0,0,0,0,0
10117,1,1,1988,0,0,0,0,0,0,0,0,0,0
10117,2,1,1988,0,0,0,0,0,0,0,0,0,0
